Date,Time,Defect Name,Station,Part of the Car,Reporter Name,Part Number,Severity Rating,Car Model,Motor Type,Design Package,Production Shift,Resolution Time (in hours),Root Cause Identified,Defect Category
28.09.23,15:00:00,Faulty Battery,Steering wheel installation,Windshield,Emily Davis,743888,9,Base,Standard,Race,Morning,6,No,Cosmetic
26.05.23,16:30:00,Cracked Windshield,Steering wheel installation,Wire Harness,Chris Lee,906032,8,Base,Long Range,Luxury,Morning,7,Yes,Cosmetic
23.09.23,09:30:00,Cracked Windshield,Wire harness installation,Battery,Michael Johnson,304535,4,Base,Long Range,Race,Morning,14,,Cosmetic
26.04.23,15:00:00,Cracked Windshield,Axel installation,Battery,Michael Johnson,676946,3,Alpina,High Performance,Race,Morning,5,,Cosmetic
18.09.23,10:30:00,Paint Scratch,Windshield installation,Axel,Chris Lee,593394,5,Pick-Up,Long Range,Offroad,Morning,14,Yes,Cosmetic
02.08.23,09:00:00,Faulty Battery,EV battery installation,Axel,Chris Lee,662026,9,Long,High Performance,Offroad,Morning,2,Yes,Cosmetic
13.10.23,10:15:00,Loose Wiring,Tire and rim installation,Wire Harness,Michael Johnson,142704,9,Base,Standard,Race,Night,22,,Functional
27.04.23,17:15:00,Loose Wiring,Dashboard installation,Windshield,Michael Johnson,726794,6,IX0M,Long Range,Offroad,Afternoon,17,,Cosmetic
26.02.23,16:00:00,Cracked Windshield,EV battery installation,Wire Harness,Emily Davis,685240,2,Alpina,Long Range,Offroad,Afternoon,8,No,Cosmetic
10.11.23,13:00:00,Cracked Windshield,Headlight installation,Axel,Michael Johnson,861332,10,Alpina,Long Range,Race,Afternoon,12,,Cosmetic
02.06.23,11:15:00,Cracked Windshield,EV battery installation,Battery,Chris Lee,106495,2,Long,Standard,Offroad,Night,19,No,Cosmetic
29.11.23,09:45:00,Loose Wiring,Rear bumper installation,Door Panel,Michael Johnson,929458,4,Base,Standard,Offroad,Afternoon,5,,Cosmetic
07.04.23,08:15:00,Cracked Windshield,Axel installation,Windshield,John Doe,595291,6,Alpina,High Performance,Offroad,Afternoon,9,Yes,Cosmetic
20.07.23,11:45:00,Hydraulic Leak,First row seats installation,Second Row Seats,Michael Johnson,948201,7,Long,Standard,Race,Night,14,No,Cosmetic
04.12.23,08:45:00,Loose Wiring,Dashboard installation,Wire Harness,Chris Lee,574220,3,IX0M,High Performance,Offroad,Afternoon,19,Yes,Cosmetic
20.01.23,13:00:00,Faulty Battery,Axel installation,Steering Wheel,Michael Johnson,787743,5,Pick-Up,Standard,Offroad,Afternoon,11,Yes,Cosmetic
13.08.23,14:30:00,Cracked Windshield,Second row seats installation,Wire Harness,Chris Lee,278137,7,Alpina,Long Range,Offroad,Night,7,,Functional
19.05.23,11:15:00,Cracked Windshield,Windshield installation,Second Row Seats,Emily Davis,191673,10,Long,High Performance,Offroad,Night,20,Yes,Cosmetic
28.12.23,08:30:00,Cracked Windshield,Wire harness installation,Battery,John Doe,399213,4,Base,High Performance,Luxury,Morning,19,Yes,Functional
18.03.23,17:45:00,Loose Wiring,Dashboard installation,Windshield,Michael Johnson,208952,3,Base,High Performance,Race,Afternoon,23,Yes,Cosmetic
07.06.23,13:00:00,Loose Wiring,EV battery installation,Door Panel,John Doe,953877,10,Alpina,High Performance,Offroad,Afternoon,20,,Cosmetic
09.09.23,16:15:00,Cracked Windshield,Second row seats installation,Axel,Emily Davis,272489,6,IX0M,Long Range,Offroad,Morning,3,,Cosmetic
10.11.23,08:45:00,Cracked Windshield,Axel installation,Windshield,John Doe,265470,3,Base,Standard,Luxury,Morning,18,Yes,Cosmetic
24.10.23,15:45:00,Faulty Battery,EV battery installation,Windshield,Chris Lee,244460,8,Alpina,Long Range,Offroad,Night,16,No,Cosmetic
01.12.23,09:45:00,Cracked Windshield,xAel installation,Windshield,Emily Davis,913875,9,IX0M,High Performance,Offroad,Night,13,Yes,Cosmetic
22.11.23,10:45:00,Faulty Battery,Headlight installation,Steering Wheel,John Doe,115987,6,Alpina,Long Range,Luxury,Morning,3,No,Cosmetic
26.02.23,13:30:00,Paint Scratch,Steering wheel installation,Windshield,John Doe,154949,1,Long,High Performance,Eco,Morning,13,Yes,Cosmetic
24.06.23,14:15:00,CRACKEd wINDsHIeld,Wire harness installation,Axel,John Doe,109414,5,IX0M,Standard,Eco,Morning,22,No,Cosmetic
30.10.23,10:00:00,Loose Wiring,Second row seats installation,Battery,Chris Lee,159127,4,Base,High Performance,Race,Morning,19,,Cosmetic
31.12.23,08:00:00,Paint Scratch,Headlight installation,Battery,John Doe,627959,6,Alpina,Long Range,Offroad,Night,8,Yes,Cosmetic
03.03.23,10:15:00,Faulty Battery,Axel installation,Axel,Chris Lee,158935,4,Base,High Performance,Race,Morning,10,Yes,Cosmetic
08.09.23,17:00:00,Faulty Battery,Windshield installation,Windshield,Chris Lee,501810,3,IX0M,High Performance,Race,Morning,5,,Cosmetic
19.12.23,16:00:00,Faulty Battery,Tire and rim installation,Second Row Seats,Chris Lee,528681,1,Long,Long Range,Offroad,Afternoon,15,,Cosmetic
03.08.23,14:00:00,Cracked Windshield,Wire harness installation,Axel,Emily Davis,542625,4,IX0M,Standard,Offroad,Night,19,,Functional
11.08.23,09:00:00,Paint Scratch,Windshield installation,Battery,Michael Johnson,478023,3,Alpina,Standard,Offroad,Morning,18,Yes,Cosmetic
27.03.23,18:00:00,Faulty Battery,First row seats installation,Battery,Michael Johnson,614532,2,IX0M,Standard,Offroad,Morning,16,No,Cosmetic
28.10.23,14:15:00,Faulty Battery,Steering wheel installation,Axel,Emily Davis,841402,3,Long,Long Range,Race,Night,21,Yes,Cosmetic
08.12.23,18:00:00,Faulty Battery,Second row seats installation,Windshield,Michael Johnson,759408,3,Alpina,Long Range,Race,Morning,8,Yes,Cosmetic
28.07.23,08:00:00,Loose Wiring,Steering wheel installation,Dashboard,Michael Johnson,650075,4,Long,High Performance,Offroad,Morning,17,Yes,Critical
22.09.23,15:15:00,Loose Wiring,Wire harness installation,Axel,Michael Johnson,984291,4,IX0M,Long Range,Offroad,Night,5,Yes,Cosmetic
24.10.23,14:45:00,Loose Wiring,Dashboard installation,Battery,John Doe,887075,4,Long,Standard,Eco,Night,18,Yes,Cosmetic
17.05.23,16:15:00,Cracked Windshield,Windshield installation,Second Row Seats,Jane Smith,839518,2,Long,Long Range,Race,Morning,10,Yes,Cosmetic
10.04.23,08:00:00,Faulty Battery,Axel installation,Wire Harness,Chris Lee,549892,3,Pick-Up,Standard,Offroad,Morning,8,Yes,Cosmetic
16.05.23,14:00:00,Cracked Windshield,EV battery installation,Battery,Michael Johnson,400078,1,Alpina,Long Range,Eco,Morning,21,Yes,Cosmetic
15.06.23,09:30:00,Loose Wiring,Headlight installation,Dashboard,Michael Johnson,416153,6,Base,Long Range,Offroad,Morning,5,No,Critical
15.01.23,14:45:00,Brake Malfunction,Axel installation,Battery,Chris Lee,567941,5,Long,Long Range,Offroad,Morning,23,Yes,Cosmetic
11.03.23,13:00:00,Loose Wiring,Rear bumper installation,Second Row Seats,John Doe,429761,10,Long,Long Range,Offroad,Morning,13,,Cosmetic
17.08.23,12:00:00,Loose Wiring,First row seats installation,First Row Seats,Chris Lee,166834,3,Long,Standard,Race,Morning,19,Yes,Cosmetic
20.07.23,12:15:00,Loose Wiring,EV battery installation,Dashboard,Jane Smith,829716,4,IX0M,Long Range,Race,Morning,7,Yes,Cosmetic
19.08.23,15:45:00,Loose Wiring,Tire and rim installation,Axel,Chris Lee,343908,7,Alpina,Long Range,Race,Night,1,Yes,Functional
18.09.23,14:45:00,Cracked Windshield,EV battery installation,Door Panel,Emily Davis,354904,2,Base,High Performance,Eco,Afternoon,23,Yes,Cosmetic
08.09.23,12:30:00,Faulty Battery,Wire harness installation,Windshield,John Doe,984369,3,Alpina,Long Range,Race,Morning,15,Yes,Cosmetic
26.04.23,08:30:00,Cracked Windshield,Steering wheel installation,Battery,Chris Lee,686344,4,Long,Long Range,Race,Morning,19,Yes,Cosmetic
07.05.23,15:15:00,Cracked Windshield,Headlight installation,Axel,John Doe,599736,6,Base,High Performance,Luxury,Morning,18,Yes,Cosmetic
06.09.23,10:45:00,Cracked Windshield,Tire and rim installation,Axel,Chris Lee,547129,6,Long,Long Range,Offroad,Night,4,Yes,Cosmetic
10.11.23,08:45:00,Cracked Windshield,First row seats installation,Battery,Jane Smith,818399,4,IX0M,Standard,Race,Night,15,Yes,Cosmetic
22.04.23,17:45:00,Sensor Failure,Steering wheel installation,Wire Harness,Jane Smith,523469,1,Base,Long Range,Offroad,Afternoon,3,Yes,Functional
06.05.23,13:45:00,Loose Wiring,Wire harness installation,Wire Harness,Michael Johnson,415054,7,Base,Long Range,Luxury,Afternoon,1,,Cosmetic
09.11.23,10:15:00,rCacked Windshield,Axel installation,Second Row Seats,John Doe,258818,9,Pick-Up,Standard,Race,Afternoon,16,Yes,Cosmetic
03.04.23,09:30:00,Loose Wiring,Dashboard installation,Windshield,Chris Lee,275960,9,IX0M,Standard,Race,Morning,2,Yes,Critical
01.11.23,13:15:00,Loose Wiring,Dashboard installation,Dashboard,Jane Smith,266988,7,IX0M,Long Range,Offroad,Afternoon,12,No,Cosmetic
26.11.23,18:00:00,Loose Wiring,Axel installation,Battery,Michael Johnson,519460,6,Alpina,Standard,Luxury,Morning,1,Yes,Cosmetic
29.09.23,13:45:00,Paint Scratch,Axel installation,Battery,Jane Smith,768796,6,IX0M,Standard,Race,Morning,4,Yes,Cosmetic
20.03.23,11:30:00,Loose Wiring,Tire and rim installation,Windshield,Chris Lee,164786,10,IX0M,High Performance,Race,Morning,2,Yes,Electrical
16.12.23,15:45:00,Loose Wiring,Second row seats installation,Windshield,Michael Johnson,982978,8,Long,Long Range,Race,Morning,20,,Cosmetic
14.05.23,15:30:00,Loose Wiring,Headlight installation,Windshield,Chris Lee,506140,6,Long,Long Range,Offroad,Night,12,Yes,Cosmetic
21.11.23,12:45:00,Paint Scratch,Headlight installation,Wire Harness,Chris Lee,407300,7,Long,Standard,Offroad,Morning,6,Yes,Cosmetic
14.08.23,11:15:00,Cracked Windshield,Axel installation,Battery,Jane Smith,856399,2,Alpina,High Performance,Luxury,Morning,23,,Cosmetic
21.04.23,09:45:00,Loose Wiring,Windshield installation,Battery,Emily Davis,414099,7,IX0M,Standard,Offroad,Morning,7,No,Cosmetic
18.03.23,17:15:00,Hydraulic Leak,Second row seats installation,Wire Harness,Chris Lee,749131,10,Base,Long Range,Race,Night,7,Yes,Cosmetic
10.06.23,17:30:00,Sensor Failure,EV battery installation,Door Panel,Chris Lee,687862,4,Long,Long Range,Offroad,Night,6,Yes,Cosmetic
28.07.23,09:30:00,Loose Wiring,Tire and rim installation,Battery,Emily Davis,222404,6,Long,Long Range,Eco,Morning,23,Yes,Cosmetic
10.06.23,14:30:00,Cracked Windshield,Tire and rim installation,Battery,Emily Davis,205611,2,Base,Long Range,Eco,Afternoon,1,,Cosmetic
28.07.23,12:30:00,Loose Wiring,Steering wheel installation,Windshield,John Doe,985294,9,Alpina,Long Range,Offroad,Morning,17,Yes,Cosmetic
18.10.23,09:45:00,Loose Wiring,Wire harness installation,Tires and Rims,Chris Lee,998872,10,Long,High Performance,Race,Afternoon,13,,Cosmetic
14.06.23,08:15:00,Paint Scratch,EV battery installation,Axel,Chris Lee,835973,1,IX0M,Standard,Race,Night,8,Yes,Cosmetic
06.07.23,09:30:00,Paint Scratch,Second row seats installation,First Row Seats,Jane Smith,151227,8,Base,High Performance,Luxury,Night,16,,Critical
02.07.23,10:30:00,Loose Wiring,Wire harness installation,Axel,John Doe,560732,5,Base,Long Range,Luxury,Afternoon,4,Yes,Cosmetic
29.08.23,11:30:00,Hydraulic Leak,Windshield installation,Wire Harness,John Doe,936651,7,Base,Standard,Race,Afternoon,5,Yes,Cosmetic
21.07.23,13:00:00,Faulty Battery,Dashboard installation,Battery,John Doe,760502,8,Alpina,Long Range,Race,Morning,21,Yes,Cosmetic
16.10.23,15:15:00,Faulty Battery,Dashboard installation,Steering Wheel,Michael Johnson,317474,4,Base,Long Range,Race,Morning,19,No,Electrical
28.03.23,11:45:00,Faulty Battery,Axel installation,Steering Wheel,John Doe,711748,5,Base,Long Range,Race,Morning,15,No,Cosmetic
21.10.23,15:30:00,Loose Wiring,Steering wheel installation,Wire Harness,Michael Johnson,254140,4,IX0M,High Performance,Offroad,Afternoon,20,Yes,Cosmetic
17.04.23,11:45:00,Faulty Battery,Dashboard installation,Battery,Jane Smith,359191,5,IX0M,Standard,Luxury,Morning,22,Yes,Cosmetic
09.12.23,15:30:00,Loose Wiring,Steering wheel installation,Windshield,John Doe,977004,6,Long,High Performance,Offroad,Night,9,Yes,Critical
17.03.23,09:15:00,Hydraulic Leak,EV battery installation,Steering Wheel,Chris Lee,302335,8,Base,High Performance,Offroad,Afternoon,17,Yes,Cosmetic
08.09.23,08:00:00,Cracked Windshield,Tire and rim installation,Battery,Jane Smith,872975,4,Base,High Performance,Race,Morning,1,No,Functional
31.10.23,17:15:00,Faulty Battery,Axel installation,Windshield,Chris Lee,803566,9,IX0M,Long Range,Offroad,Morning,12,Yes,Cosmetic
25.05.23,10:30:00,CrackedW indshield,Headlight installation,Axel,John Doe,751087,7,Base,Long Range,Race,Afternoon,8,Yes,Cosmetic
12.02.23,17:00:00,Faulty Battery,Windshield installation,First Row Seats,Jane Smith,863690,1,IX0M,Standard,Luxury,Morning,18,Yes,Cosmetic
28.04.23,17:15:00,Sensor Failure,Tire and rim installation,Axel,Chris Lee,572984,4,IX0M,Long Range,Offroad,Morning,4,Yes,Cosmetic
13.10.23,17:45:00,Faulty Battery,Headlight installation,Battery,Michael Johnson,891003,5,Pick-Up,Long Range,Race,Morning,18,Yes,Cosmetic
27.12.23,09:30:00,Loose Wiring,Tire and rim installaiton,Tires and Rims,Chris Lee,632023,10,Long,Long Range,Offroad,Afternoon,23,,Cosmetic
21.05.23,14:15:00,Faulty Battery,EV battery installation,Axel,Chris Lee,222613,3,Base,Long Range,Offroad,Afternoon,7,,Cosmetic
09.12.23,15:00:00,Faulyt Battery,Headlight installation,First Row Seats,Emily Davis,201946,10,Long,High Performance,Offroad,Afternoon,4,Yes,Cosmetic
16.07.23,17:15:00,Cracked Windshield,Tire and rim installation,Steering Wheel,Jane Smith,625143,5,Long,High Performance,Offroad,Morning,12,No,Cosmetic
09.04.23,13:30:00,Faulty Battery,First row seats installation,Door Panel,Chris Lee,413199,10,Long,High Performance,Luxury,Morning,11,Yes,Cosmetic
26.07.23,15:30:00,Loose Wiring,First row seats installation,Battery,Jane Smith,554891,4,Base,Long Range,Offroad,Morning,20,Yes,Functional
26.09.23,11:45:00,Faulty Battery,Wire harness installation,Axel,Jane Smith,210911,8,Long,High Performance,Luxury,Morning,19,Yes,Cosmetic
01.05.23,09:45:00,Faulty Battery,EV battery installation,Second Row Seats,John Doe,191946,2,Alpina,Long Range,Race,Night,7,,Cosmetic
03.05.23,10:45:00,Loose Wiring,EV battery installation,Battery,John Doe,891773,10,Base,Long Range,Offroad,Night,20,Yes,Cosmetic
13.04.23,08:00:00,Loose Wiring,Second row seats installation,Axel,John Doe,129607,1,Long,Long Range,Offroad,Afternoon,7,Yes,Cosmetic
01.03.23,09:15:00,Faulty Battery,Dashboard installation,Dashboard,Emily Davis,999652,9,Long,Long Range,Offroad,Morning,11,,Cosmetic
08.05.23,16:15:00,Loose Wiring,Axel installation,Dashboard,Chris Lee,189913,10,Base,High Performance,Eco,Morning,21,,Cosmetic
06.07.23,10:45:00,Loose Wiring,Second row seats installation,Wire Harness,John Doe,666589,5,Base,Standard,Offroad,Night,10,No,Cosmetic
06.01.23,12:45:00,Loose Wiring,Axel installation,First Row Seats,Michael Johnson,738137,1,IX0M,Long Range,Eco,Night,8,Yes,Cosmetic
05.09.23,10:00:00,Paint Scratch,Tire and rim installation,Door Panel,Emily Davis,455111,4,Pick-Up,High Performance,Eco,Morning,23,,Cosmetic
29.04.23,09:00:00,Cracked Windshield,Steering wheel installation,Axel,Emily Davis,534226,4,Base,High Performance,Offroad,Afternoon,11,Yes,Functional
20.01.23,16:45:00,Cracked Windshield,First row seats installation,Door Panel,Michael Johnson,378836,1,Base,Long Range,Luxury,Night,23,Yes,Cosmetic
03.07.23,14:30:00,Cracked Windshield,Second row seats installation,Axel,Chris Lee,739496,5,Alpina,High Performance,Offroad,Afternoon,14,Yes,Cosmetic
10.07.23,11:45:00,Cracked Windshield,Tire and rim installation,Door Panel,Michael Johnson,200460,4,Alpina,Long Range,Offroad,Morning,8,Yes,Cosmetic
09.11.23,13:30:00,Hydraulic Leak,Axel installation,Windshield,Michael Johnson,223662,5,Long,Long Range,Offroad,Night,10,Yes,Cosmetic
05.08.23,14:00:00,Loose Wiring,Windshield installation,Battery,Chris Lee,994488,1,Long,High Performance,Offroad,Afternoon,13,Yes,Cosmetic
28.09.23,10:15:00,Loose Wiring,Wire harness installation,Steering Wheel,Chris Lee,300560,9,Alpina,High Performance,Offroad,Afternoon,21,,Critical
24.07.23,18:00:00,Faulty Battery,Dashboard installation,Axel,Michael Johnson,391849,9,Alpina,Long Range,Race,Morning,18,,Cosmetic
30.05.23,11:15:00,Loose Wiring,Rear bumper installation,Wire Harness,Chris Lee,824464,2,IX0M,High Performance,Offroad,Morning,4,,Cosmetic
05.08.23,17:30:00,Loose Wiring,First row seats installation,Axel,Chris Lee,849590,10,Alpina,Standard,Luxury,Morning,17,Yes,Cosmetic
27.12.23,15:30:00,Faulty Battery,Steering wheel installation,Dashboard,Chris Lee,762800,9,Long,High Performance,Eco,Afternoon,22,,Cosmetic
17.09.23,11:00:00,Faulty Battery,Steering wheel installation,Dashboard,Michael Johnson,720123,5,Base,High Performance,Race,Night,14,Yes,Cosmetic
02.10.23,14:30:00,Sensor Failure,Wire harness installation,Windshield,Emily Davis,453626,9,Long,High Performance,Eco,Night,16,Yes,Cosmetic
17.04.23,12:00:00,Cracked Windshield,Headlight installatino,Windshield,Chris Lee,568736,9,Long,Long Range,Race,Morning,21,No,Cosmetic
20.12.23,15:30:00,Loose Wiring,Tire an drim installation,Battery,Jane Smith,956413,4,Pick-Up,Long Range,Offroad,Night,21,,Cosmetic
07.02.23,18:00:00,Faulty Battery,Windshield installation,Door Panel,Emily Davis,515899,1,IX0M,High Performance,Eco,Morning,22,Yes,Cosmetic
09.05.23,17:15:00,Faulty Battery,EV battery installation,Wire Harness,Emily Davis,279028,3,Base,Long Range,Offroad,Morning,5,Yes,Cosmetic
11.02.23,17:45:00,Loose Wiring,Wire harness installation,Wire Harness,Michael Johnson,518439,9,Base,Long Range,Offroad,Morning,10,,Critical
19.12.23,08:30:00,hyDrAuLIc lEAk,Wire harness installation,Battery,Chris Lee,925667,3,IX0M,High Performance,Offroad,Afternoon,11,Yes,Cosmetic
08.07.23,10:30:00,Cracked Windshield,Axel installation,Windshield,John Doe,234182,3,Base,High Performance,Luxury,Morning,7,Yes,Cosmetic
27.07.23,08:00:00,Loose Wiring,Windshield installation,Battery,Chris Lee,791105,9,IX0M,Standard,Race,Morning,10,Yes,Cosmetic
18.06.23,11:45:00,Loose Wiring,EV battery installation,Axel,John Doe,617029,3,IX0M,High Performance,Offroad,Afternoon,15,No,Cosmetic
17.11.23,11:30:00,Faulty Battery,Dashboard installation,First Row Seats,John Doe,101000,1,Base,Standard,Race,Night,19,Yes,Cosmetic
14.10.23,17:30:00,Faulty Battery,Tire and rim installation,Axel,Chris Lee,405583,3,Long,High Performance,Luxury,Morning,23,Yes,Cosmetic
26.08.23,17:15:00,Loose Wiring,Axel installation,Windshield,John Doe,455871,9,Base,Standard,Race,Morning,22,,Cosmetic
15.07.23,16:15:00,Faulty Battrey,Rear bumper installation,Door Panel,Chris Lee,298728,2,IX0M,High Performance,Offroad,Morning,8,,Cosmetic
27.08.23,14:00:00,Loose Wiring,EV battery installation,Tires and Rims,Chris Lee,537864,5,Long,High Performance,Race,Morning,8,,Cosmetic
10.06.23,10:30:00,Loose Wiring,First row seats installation,Dashboard,Chris Lee,862665,2,IX0M,Long Range,Luxury,Night,13,,Cosmetic
17.07.23,16:30:00,Loose Wiring,EV battery installation,Dashboard,Chris Lee,578794,7,IX0M,Long Range,Offroad,Morning,19,Yes,Cosmetic
17.11.23,11:00:00,Loose Wiring,Windshield installation,Axel,John Doe,978495,5,Alpina,Long Range,Offroad,Afternoon,13,Yes,Cosmetic
04.07.23,13:30:00,Hydraulic Leak,Steering wheel installation,First Row Seats,Michael Johnson,242227,3,Pick-Up,Long Range,Eco,Afternoon,2,Yes,Cosmetic
03.09.23,12:15:00,Loose Wiring,EV battery installation,Dashboard,Chris Lee,588417,3,IX0M,High Performance,Eco,Morning,8,Yes,Cosmetic
27.11.23,14:00:00,Brake Malfunction,Headlight installation,Dashboard,Emily Davis,751627,3,Base,Long Range,Race,Afternoon,14,Yes,Cosmetic
16.12.23,14:45:00,Loose Wiring,EV battery installation,Wire Harness,Jane Smith,884239,6,Base,High Performance,Offroad,Morning,6,,Cosmetic
17.10.23,15:45:00,Faulty Battery,Wire harness installation,Axel,Michael Johnson,733806,8,Base,Long Range,Race,Afternoon,22,Yes,Functional
06.04.23,16:00:00,Faulty Battery,Steering wheel isntallation,Windshield,Chris Lee,911070,7,Alpina,Long Range,Offroad,Night,9,Yes,Cosmetic
23.07.23,14:45:00,Cracked Windshield,EV battery nistallation,Battery,Chris Lee,681113,7,Long,High Performance,Offroad,Afternoon,22,Yes,Cosmetic
07.03.23,10:00:00,Paint Scratch,Steering wheel installation,Wire Harness,Jane Smith,294731,7,Base,Long Range,Luxury,Night,14,Yes,Cosmetic
30.07.23,15:45:00,Loose Wiring,Windshield installation,First Row Seats,Michael Johnson,564146,5,Long,Long Range,Offroad,Morning,16,Yes,Cosmetic
16.04.23,14:15:00,Cracked Windshield,Steering wheel installation,Dashboard,Emily Davis,138003,4,Alpina,Long Range,Luxury,Afternoon,13,,Cosmetic
15.02.23,09:30:00,Loose Wiring,Tire and rim installation,Steering Wheel,Chris Lee,970279,1,IX0M,Standard,Offroad,Morning,23,Yes,Cosmetic
14.04.23,15:15:00,Loose Wiring,Wire harenss installation,Axel,John Doe,343450,5,IX0M,High Performance,Luxury,Morning,8,,Cosmetic
08.10.23,18:00:00,Faulty Battery,Wire harness installation,Wire Harness,Chris Lee,741120,4,IX0M,High Performance,Offroad,Morning,5,Yes,Cosmetic
24.05.23,10:00:00,Sensor Failure,Headlight installation,Battery,Michael Johnson,845295,10,Base,Long Range,Race,Night,7,Yes,Cosmetic
07.08.23,14:00:00,Sensor Failure,Axel installation,Axel,John Doe,746126,2,IX0M,Long Range,Race,Afternoon,17,Yes,Cosmetic
26.12.23,13:45:00,Loose Wiring,Second row seats installation,Steering Wheel,Chris Lee,340214,7,Long,Standard,Luxury,Morning,23,No,Cosmetic
25.08.23,12:15:00,Loose Wiring,Dashboard installation,Axel,Chris Lee,269627,6,IX0M,High Performance,Race,Morning,19,Yes,Cosmetic
27.12.23,15:30:00,Cracked Windshield,Second row seats installation,Windshield,John Doe,437256,10,Base,Long Range,Race,Afternoon,19,,Cosmetic
12.06.23,12:30:00,Paint Scratch,Dashboard installation,Axel,John Doe,353600,10,IX0M,High Performance,Race,Afternoon,12,Yes,Functional
22.10.23,09:15:00,Cracked Windshield,EV battery installation,Axel,Emily Davis,898985,10,Alpina,Standard,Race,Afternoon,12,Yes,Cosmetic
05.08.23,17:00:00,Faulty Battery,EV battery installation,Wire Harness,Chris Lee,655930,9,Long,Standard,Race,Morning,21,Yes,Cosmetic
26.09.23,16:15:00,Cracked Windshield,Tire and rim installation,Door Panel,Michael Johnson,738177,2,IX0M,High Performance,Luxury,Morning,11,,Cosmetic
19.09.23,10:30:00,Loose Wiring,EV battery installation,Windshield,Michael Johnson,422852,2,Long,Long Range,Offroad,Night,14,Yes,Cosmetic
09.04.23,16:15:00,Cracked Windshield,EV battery installation,Axel,Michael Johnson,838527,2,IX0M,High Performance,Offroad,Morning,14,Yes,Structural
12.01.23,11:00:00,Hydraulic Leak,Rear bumper installation,Door Panel,Michael Johnson,718042,1,IX0M,Long Range,Offroad,Morning,20,,Cosmetic
19.04.23,17:00:00,Faulty Battery,EV battery installation,Windshield,Michael Johnson,871751,1,Long,High Performance,Offroad,Afternoon,9,,Cosmetic
04.06.23,09:30:00,Loose Wiring,Tire and rim installation,Axel,Chris Lee,300482,9,Base,Standard,Luxury,Morning,21,Yes,Cosmetic
31.12.23,18:00:00,Cracked Windshield,Headlight installation,Battery,Jane Smith,207290,8,Base,Long Range,Offroad,Morning,6,,Cosmetic
27.06.23,13:45:00,Loose Wiring,Steering wheel installation,Battery,Chris Lee,124405,5,IX0M,High Performance,Offroad,Morning,6,Yes,Cosmetic
22.05.23,17:00:00,Faulty Battery,EV battery installation,Door Panel,Chris Lee,968077,4,Alpina,Long Range,Luxury,Morning,19,No,Cosmetic
03.08.23,16:45:00,Loose Wiring,EV battery installation,Door Panel,Chris Lee,287408,1,Long,Long Range,Offroad,Morning,15,Yes,Cosmetic
11.03.23,15:45:00,Cracked Windshield,Tire and rim installation,Windshield,Michael Johnson,433326,1,IX0M,Standard,Race,Afternoon,18,,Cosmetic
28.06.23,17:00:00,Hydraulic Leak,Steering wheel installation,Door Panel,Chris Lee,963313,10,Base,High Performance,Race,Morning,21,No,Cosmetic
04.09.23,08:45:00,Cracked Windshield,Second row seats installation,Door Panel,John Doe,492417,8,Alpina,High Performance,Offroad,Morning,6,,Cosmetic
26.08.23,17:00:00,Loose Wiring,Wire harness installation,Windshield,Michael Johnson,108669,3,IX0M,Standard,Offroad,Afternoon,15,No,Cosmetic
26.05.23,13:15:00,Faulty Battery,Axel installation,Steering Wheel,John Doe,572567,2,Base,Standard,Offroad,Morning,5,Yes,Cosmetic
